REFFABRICANTE;TITULO;CODIGOINTERNO;EAN/UPC;CODFAMILIA;TITULOFAMILIA;CODSUBFAMILIA;TITULOSUBFAMILIA;CODFABRICANTE;NOMFABRICANTE;PRECIO;STOCK;PESO;PROXIMA_LLEGADA;CICLOVIDA;PLAZOENTREGA;CANONLPI;PRECIOSINCANON
TQE-2512;TooQ TQE-2512 caja externa 2.5 IDE/SATA a USB 2.0;AAACET0013;8433281000056;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;01590;TooQ;7.0500000000;35;0.2700000000;;;0.0000000000;0.0000000000;7.0500000000
TQE-2510B;TooQ TQE-2510B caja HD 2.5 SATA USB 2.0 negra;AAACET0016;8433281000094;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;01590;TooQ;4.2700000000;64;0.1950000000;;;0.0000000000;0.0000000000;4.2700000000
TQE-3518B;Tooq TQE-3518B caja externa HD 3.5IDE/SATAII USB2;AAACET0085;8433281000070;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;01590;TooQ;12.8000000000;18;0.7300000000;;Ultimas unidades;0.0000000000;0.0000000000;12.8000000000
5PORTUMDUO2;Tacens Portum Duo 2 USB 3.0 Dock Station;AAACET0111;4710700954539;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;04080;Tacens;27.8800000000;57;0.8000000000;;;0.0000000000;0.0000000000;27.8800000000
TQE-3520B;TooQ TQE-3520B caja externa HD 3.5IDE/ SATA3 Negr;AAACET0113;8433281006577;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;01590;TooQ;12.6800000000;27;0.7000000000;;;0.0000000000;0.0000000000;12.6800000000
TQE-3509B;TooQ TQE-3509B caja externa HD 3.5 SATA3 a USB2.0;AAACET0115;8433281005662;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;01590;TooQ;9.8600000000;61;0.5850000000;;;0.0000000000;0.0000000000;9.8600000000
EW7033;Ewent EW7033 caja externa 2.5 SATA a USB3;AAACET0116;8716065270990;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;04193;Ewent;7.6500000000;5;0.2650000000;18/01/2019;;0.0000000000;0.0000000000;7.6500000000
EW7041;Ewent EW7041 Carcasa Portátil HD  SATA 2.5 USB;AAACET0117;8716065231205;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;04193;Ewent;4.2700000000;12;0.2200000000;;;0.0000000000;0.0000000000;4.2700000000
EW7042;Ewent EW7042 Caja HD 2.5 IDE USB2.0 Plata;AAACET0120;8716065100839;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;04193;Ewent;4.2000000000;3;0.2300000000;18/01/2019;;0.0000000000;0.0000000000;4.2000000000
EW7047;Ewent EW7047 Caja HD 3.5 IDE/SATA USB2.0 Negra;AAACET0121;8716065247862;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;04193;Ewent;16.9500000000;6;1.0600000000;;;0.0000000000;0.0000000000;16.9500000000
TQE-3526B;TooQ TQE-3526B caja externa HD 3.5 SATA3 a USB3.0;AAACET0133;8433281005952;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;01590;TooQ;12.6000000000;37;0.7350000000;;;0.0000000000;0.0000000000;12.6000000000
TQE-2526B;TooQ TQE-2526B caja HD 2.5 SATA3 USB 3.0 Negra;AAACET0134;8433281005655;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;01590;TooQ;6.1100000000;67;0.1950000000;;;0.0000000000;0.0000000000;6.1100000000
TQDS-802B;Tooq TQDS-802B Dock Station Doble Bahía HDD Negro;AAACET0135;8433281006676;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;01590;TooQ;17.4300000000;46;0.7050000000;;;0.0000000000;0.0000000000;17.4300000000
HDD25BL13;3GO HDD25BL13 Caja Externa HDD 2.5 SATA  Azul;AAACET0145;8436531556617;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;60043;3GO;4.9900000000;100;0.1650000000;;;0.0000000000;0.0000000000;4.9900000000
TQE-2530B;TooQ TQE-2530B caja HDD 2.5 SATA3 USB 3.0 Negra;AAACET0153;8433281006768;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;01590;TooQ;5.7400000000;27;0.0800000000;;;0.0000000000;0.0000000000;5.7400000000
TQE-3513B;TooQ TQE-3513B caja HDD 3.5 IDE/SATA3 USB 2.0 Neg;AAACET0154;8433281006775;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;01590;TooQ;12.6000000000;30;0.8000000000;;;0.0000000000;0.0000000000;12.6000000000
TQE-3530B;TooQ TQE-3530B caja HDD 3.5 SATA3 USB 3.0 Negra;AAACET0155;8433281006782;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;01590;TooQ;11.7900000000;47;0.7950000000;;;0.0000000000;0.0000000000;11.7900000000
TQDS-902B;Tooq TQDS-902B Dock Station Doble Bahía HDD Negro;AAACET0157;8433281006874;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;01590;TooQ;17.2700000000;14;0.7600000000;;;0.0000000000;0.0000000000;17.2700000000
TQE-2527B;TooQ TQE-2527B caja HDD 2.5 SATA3 USB 3.0 Negra;AAACET0159;8433281006850;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;01590;TooQ;5.9000000000;29;0.1000000000;10/01/2019;;0.0000000000;0.0000000000;5.9000000000
TQE-3527B;TooQ TQE-3527B caja HDD 3.5 SATA3 USB 3.0 Negra;AAACET0160;8433281006867;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;01590;TooQ;11.2500000000;42;0.3500000000;;;0.0000000000;0.0000000000;11.2500000000
appHDD10B;approx appHDD10B Caja Ext.2.5 USB 3.0 SATA Negra;AAACET0169;8435099515715;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;01360;approx!;8.6400000000;44;0.2000000000;;;0.0000000000;0.0000000000;8.6400000000
TQE-2524B;TooQ TQE-2524B caja HD 2.5 SATA3 USB 3.0 Negra;AAACET0179;8433281007208;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;01590;TooQ;5.1700000000;54;0.1800000000;;;0.0000000000;0.0000000000;5.1700000000
TQE-2529B;TooQ TQE-2529B caja HD 2.5 SATA3 USB 3.0 Negra;AAACET0180;8433281007314;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;01590;TooQ;7.0000000000;80;0.2100000000;;;0.0000000000;0.0000000000;7.0000000000
TQE-2522B;TooQ TQE-2522B caja HD 2.5 SATA3 USB 3.0 Negra;AAACET0181;8433281007024;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;01590;TooQ;5.2500000000;16;0.1700000000;10/01/2019;;0.0000000000;0.0000000000;5.2500000000
EW7044;Ewent EW7044  Caja externa 2.5 HD/SSD USB 3.0;AAACET0183;8054392610981;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;04193;Ewent;6.6800000000;82;0.2040000000;;;0.0000000000;0.0000000000;6.6800000000
EW7056;Ewent EW7056 Caja externa 3.5 SATA a USB 3.0;AAACET0184;8054392610998;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;04193;Ewent;13.7900000000;59;0.5180000000;;;0.0000000000;0.0000000000;13.7900000000
EW7023;Ewent EW7023 Caja externa SSD M2 USB 3.1 Aluminio;AAACET0185;8056045878663;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;04193;Ewent;12.8900000000;9;0.1770000000;18/01/2019;;0.0000000000;0.0000000000;12.8900000000
EW7014;Ewent EW7014 Dock Station Dual 2.5-3.5 USB 3.1;AAACET0186;8054392611018;AA;Accesorios Almacenamiento;CET;Cajas Externas/Extraibles HD;04193;Ewent;22.3500000000;8;0.8260000000;;;0.0000000000;0.0000000000;22.3500000000
