"REFFABRICANTE";"TITULO";"CODIGOINTERNO";"EAN/UPC";"CODFAMILIA";"TITULOFAMILIA";"CODSUBFAMILIA";"TITULOSUBFAMILIA";"CODFABRICANTE";"NOMFABRICANTE";PRECIO;"STOCK";PESO;"PROXIMA_LLEGADA";"CICLOVIDA";"PLAZOENTREGA"
"TQE-2501";"TooQ TQE-2501 caja externa 2.5"" IDE a USB 2.0";"AAACET0001";"8433281000162";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";4,46;36;0,1950000000;"";"";"0,0000000000"
"TQE-2512";"TooQ TQE-2512 caja externa 2.5"" IDE/SATA a USB 2.0";"AAACET0013";"8433281000056";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";6,81;26;0,2700000000;"";"";"0,0000000000"
"TQE-2510B";"TooQ TQE-2510B caja HD 2.5"" SATA USB 2.0 negra";"AAACET0016";"8433281000094";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";3,98;100;0,1950000000;"";"";"0,0000000000"
"TQE-3518B";"Tooq TQE-3518B caja externa HD 3.5""IDE/SATAII USB2";"AAACET0085";"8433281000070";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";12,26;57;0,7300000000;"";"";"0,0000000000"
"TQE-3518S";"TooQ TQE-3518S caja externa 3.5"" IDE/SATA-II USB";"AAACET0092";"8433281000063";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";12,26;17;0,7300000000;"";"";"0,0000000000"
"5PORTUMDUO2";"Tacens Portum Duo 2 USB 3.0 Dock Station";"AAACET0111";"4710700954539";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"04080";"Tacens";27,88;29;0,8000000000;"";"";"0,0000000000"
"TQE-2515B";"TooQ TQE-2515B caja HD 2.5"" SATA3 USB2.0 Neg/pla.";"AAACET0112";"8433281006560";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";5,25;32;0,2000000000;"";"";"0,0000000000"
"TQE-3520B";"TooQ TQE-3520B caja externa HD 3.5""IDE/ SATA3 Negr";"AAACET0113";"8433281006577";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";12,41;78;0,7000000000;"";"";"0,0000000000"
"TQE-3509B";"TooQ TQE-3509B caja externa HD 3.5"" SATA3 a USB2.0";"AAACET0115";"8433281005662";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";10,39;78;0,5850000000;"";"";"0,0000000000"
"EW7033";"Ewent EW7033 caja externa 2.5"" SATA a USB3";"AAACET0116";"8716065270990";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"04193";"Ewent";8,96;18;0,2650000000;"";"";"0,0000000000"
